,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
,366,249,117,0,0,0,0,99,59,44,0,0,77,289,0,0
,366,151,212,3,0,0,0,125,69,53,0,2,63,301,0,0
,366,166,199,1,0,0,0,115,64,52,0,0,49,317,0,0
,285,256,29,0,0,0,0,97,51,33,0,0,196,89,0,0
,364,207,156,0,1,0,0,151,61,46,0,0,80,284,0,0
,366,226,139,1,0,0,0,101,62,45.5,0,0,49,317,0,0
,272,257,15,0,0,0,0,61,46,34,0,0,223,49,0,0
,120,99,20,1,0,0,0,108,52.5,33,0,0,0,120,0,0
,360,221,139,0,0,0,0,99,60,44,0,0,0,360,0,0
,366,262,104,0,0,0,0,97,57,42,0,0,56,310,0,0
,327,208,119,0,0,0,0,82,58,42,0,0,0,327,0,0
,365,232,132,1,0,0,0,131,59,46,0,0,45,320,0,0
,245,244,1,0,0,0,0,58,43,32,0,0,245,0,0,0
,202,143,58,1,0,0,0,141,60,40,0,0,0,202,0,0
,363,202,160,1,0,0,0,114,62,47,0,0,0,363,0,0
,352,166,182,4,0,0,0,133,69,51,0,0,0,352,0,421
,245,228,17,0,0,0,0,74,49,35,0,0,245,0,0,0
,365,195,169,1,0,0,0,107,65,49,0,0,53,312,0,0
,365,138,219,8,0,0,0,150,77,54,0,2,75,288,0,0
,365,158,200,7,0,0,0,145,71,52,0,0,56,309,0,0
,322,267,55,0,0,0,0,80,54,38,0,0,181,141,0,0
,351,157,192,2,0,0,0,110,67,52,0,0,70,281,0,0
,365,205,156,3,1,0,0,155,66,48,0,0,48,317,0,0
,276,240,36,0,0,0,0,87,52,38,0,0,222,54,0,0
,116,91,25,0,0,0,0,69,53,35,0,0,0,116,0,0
,365,209,156,0,0,0,0,83,62,46,0,0,0,365,0,0
,365,198,165,2,0,0,0,131,66,48,0,0,42,323,0,0
,354,234,118,2,0,0,0,141,62,38,0,0,0,354,0,0
,363,176,186,1,0,0,0,103,63,51,0,0,31,332,0,0
,245,238,7,0,0,0,0,80,45,33,0,0,245,0,0,0
,358,213,145,0,0,0,0,86,60,46,0,0,0,358,0,0
,359,182,173,4,0,0,0,111,65,49,0,0,0,359,0,0
,358,180,173,4,1,0,0,151,64,50,0,0,0,358,0,422
,238,224,14,0,0,0,0,93,47,34.5,0,0,238,0,0,0
,362,201,161,0,0,0,0,88,63,47,0,0,104,258,0,0
,365,127,229,8,1,0,0,169,72,54,0,0,91,274,0,0
,365,181,184,0,0,0,0,99,63,51,0,0,85,280,0,0
